0.205277,98067,16759
0.192370,48386,8461
0.193476,31698,5945
0.185681,6673,1747
0.190554,2852,0
0.285974,84339,18598
0.371551,40655,10379
0.393717,25352,6756
0.577179,4410,1228
0.569014,2852,0
0.191423,81638,18172
0.190848,17468,4933
0.186276,8551,2836
0.186674,3264,969
0.186035,2543,0
0.265022,48230,11077
0.284917,13174,4726
0.293593,5676,2068
0.329815,2800,855
0.400931,2543,0
0.194223,85283,18805
0.186347,27584,8291
0.188167,15440,5426
0.186587,5492,2368
0.189207,3890,0
0.282472,67730,17895
0.284382,20976,8375
0.302592,11244,5024
0.355914,4467,2085
0.494868,3890,0
0.185014,2497,851
0.194597,888,304
0.186188,511,125
0.192100,317,0
0.185395,317,0
0.225805,2113,1119
0.228836,760,345
0.281049,387,57
0.319850,317,0
0.399895,317,0
